"Direction","InterfaceName","DataType","Group","RefBlock","InternalSymbol","Description","Note","ItemCount"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.BonnetSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/BonnetSts","Veh_1_B.VCar_Inport_ir","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.DriverDoorLockSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/DriverDoorLockSts","Veh_1_B.VCar_Inport_f","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.DriverDoorSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/DriverDoorSts","Veh_1_B.VCar_Inport_me","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.DRLSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/DRLSts","Veh_1_B.VCar_Inport_e","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.FollowMeTime","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/FollowMeTime","Veh_1_B.VCar_Inport_o","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.FrontFogLightSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/FrontFogLightSts","Veh_1_B.VCar_Inport_do","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.HazardLightSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/HazardLightSts","Veh_1_B.VCar_Inport_eg","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.HighBeamSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/HighBeamSts","Veh_1_B.VCar_Inport_lw","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.KeyPrtBuzzCmd","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/KeyPrtBuzzCmd","Veh_1_B.VCar_Inport_nh","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.KeySts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/KeySts","Veh_1_B.VCar_Inport_jb","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.LHRdoorSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/LHRdoorSts","Veh_1_B.VCar_Inport_p","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.LHTurnlightSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/LHTurnlightSts","Veh_1_B.VCar_Inport_gi","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.LowBeamSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/LowBeamSts","Veh_1_B.VCar_Inport_hr","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.ParkLightOnWarning","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/ParkLightOnWarning","Veh_1_B.VCar_Inport_ei","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.PosLightOnWarning","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/PosLightOnWarning","Veh_1_B.VCar_Inport_c0","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.PosLightSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/PosLightSts","Veh_1_B.VCar_Inport_pl","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.PosSwitchSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/PosSwitchSts","Veh_1_B.VCar_Inport_kr","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.PsngrDoorSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/PsngrDoorSts","Veh_1_B.VCar_Inport_m2","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.RearFogLightSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/RearFogLightSts","Veh_1_B.VCar_Inport_kx","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.RHRDoorSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/RHRDoorSts","Veh_1_B.VCar_Inport_e5","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.RHTurnlightSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/RHTurnlightSts","Veh_1_B.VCar_Inport_is","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.TrumpetSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/TrumpetSts","Veh_1_B.VCar_Inport_fi","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.Trunk_BackDoor_Sts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/Trunk_BackDoor_Sts","Veh_1_B.VCar_Inport_gz","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.TrunkDoorLockSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/TrunkDoorLockSts","Veh_1_B.VCar_Inport_na","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_2.AlarmMode","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_2/AlarmMode","Veh_1_B.VCar_Inport_mv","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_2.Arming_Failed","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_2/Arming_Failed","Veh_1_B.VCar_Inport_g1","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.CLM_EAC_CompressorSpdReq","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/CLM_EAC_CompressorSpdReq","Veh_1_B.VCar_Inport_kz","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.CLM_EACReq","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/CLM_EACReq","Veh_1_B.VCar_Inport_eu","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.Evaporatortemperature","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/Evaporatortemperature","Veh_1_B.VCar_Inport_gd","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.FaultCode2","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/FaultCode2","Veh_1_B.VCar_Inport_hy","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.FaultCode3","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/FaultCode3","Veh_1_B.VCar_Inport_ig","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.FaultCode4","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/FaultCode4","Veh_1_B.VCar_Inport_hm","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.FaultCode5","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/FaultCode5","Veh_1_B.VCar_Inport_a2","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.FaultCode6","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/FaultCode6","Veh_1_B.VCar_Inport_dc","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.FaultCode7","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/FaultCode7","Veh_1_B.VCar_Inport_ne","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.FaultCode8","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/FaultCode8","Veh_1_B.VCar_Inport_jm","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.HVAC_max_perm_ACCM_power","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/HVAC_max_perm_ACCM_power","Veh_1_B.VCar_Inport_n01","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.PTC_Temp","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/PTC_Temp","Veh_1_B.VCar_Inport_lkx","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_1.PTCState","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_1/PTCState","Veh_1_B.VCar_Inport_p1","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_2.BlowSpeedLevelDisplaySts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_2/BlowSpeedLevelDisplaySts","Veh_1_B.VCar_Inport_d4","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_2.CirculationModeDisplaySts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_2/CirculationModeDisplaySts","Veh_1_B.VCar_Inport_bd","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_2.ControlMode_Sts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_2/ControlMode_Sts","Veh_1_B.VCar_Inport_jo","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_2.ModeAdjustDisplaySts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_2/ModeAdjustDisplaySts","Veh_1_B.VCar_Inport_g4","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_2.TempCirculationMode","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_2/TempCirculationMode","Veh_1_B.VCar_Inport_co","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_2.TempknobRollingCounter","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_2/TempknobRollingCounter","Veh_1_B.VCar_Inport_bq","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.CLM_2.WorkingSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/CLM_2/WorkingSts","Veh_1_B.VCar_Inport_gh","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_CompressorPower","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_CompressorPower","Veh_1_B.VCar_Inport_g3","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_CompressorSpd","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_CompressorSpd","Veh_1_B.VCar_Inport_bqm","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_HV_InputCurr","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_HV_InputCurr","Veh_1_B.VCar_Inport_ni","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_HV_InputVolt","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_HV_InputVolt","Veh_1_B.VCar_Inport_pe","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_IGBT_Temp","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_IGBT_Temp","Veh_1_B.VCar_Inport_doz","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_InternalVoltFault","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_InternalVoltFault","Veh_1_B.VCar_Inport_ht","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_LostCommunicationWithECC","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_LostCommunicationWithECC","Veh_1_B.VCar_Inport_dq","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_Motor_PhaseCurr","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_Motor_PhaseCurr","Veh_1_B.VCar_Inport_df","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_OverBusCurrFault","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_OverBusCurrFault","Veh_1_B.VCar_Inport_e1","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_OverPhaseECurrentFault","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_OverPhaseECurrentFault","Veh_1_B.VCar_Inport_fh","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_OverTempeDropFrequeney","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_OverTempeDropFrequeney","Veh_1_B.VCar_Inport_ki","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_OverTempFault","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_OverTempFault","Veh_1_B.VCar_Inport_oz","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_OverVoltFault","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_OverVoltFault","Veh_1_B.VCar_Inport_mx","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_UnderVoltFault","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_UnderVoltFault","Veh_1_B.VCar_Inport_f1","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.EAC_1.EAC_WorkingMode","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/EAC_1/EAC_WorkingMode","Veh_1_B.VCar_Inport_j1","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.ABSActive","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_1/ABSActive","Veh_1_B.VCar_Inport_fe","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.ABSFailSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_1/ABSFailSts","Veh_1_B.VCar_Inport_nq","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.Checksum","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_1/Checksum","Veh_1_B.VCar_Inport_iv","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.EBDActive","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_1/EBDActive","Veh_1_B.VCar_Inport_fw","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.EBDFailSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_1/EBDFailSts","Veh_1_B.VCar_Inport_j2","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.MessageCounter","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_1/MessageCounter","Veh_1_B.VCar_Inport_gs","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.VehicleSpeedVSOSig","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_1/VehicleSpeedVSOSig","Veh_1_B.VCar_Inport_nl","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.VehicleSpeedVSOSigValidData","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_1/VehicleSpeedVSOSigValidData","Veh_1_B.VCar_Inport_hf","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_10.TPMS_DangerousPressureWarningT","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_10/TPMS_DangerousPressureWarningT","Veh_1_B.VCar_Inport_d1","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_10.TPMS_MalfunctionLamp","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_10/TPMS_MalfunctionLamp","Veh_1_B.VCar_Inport_ph","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_10.TPMS_PressureWarningLamp","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_10/TPMS_PressureWarningLamp","Veh_1_B.VCar_Inport_dn","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_10.TPMS_PressureWarningLampReset","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_10/TPMS_PressureWarningLampReset","Veh_1_B.VCar_Inport_dp","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_10.TPMS_PressureWarningText","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_10/TPMS_PressureWarningText","Veh_1_B.VCar_Inport_mu","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_2.LHFWheelSpeed","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_2/LHFWheelSpeed","Veh_1_B.VCar_Inport_gf","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_2.LHFWheelSpeedValidData","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_2/LHFWheelSpeedValidData","Veh_1_B.VCar_Inport_kex","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_2.LHRWheelSpeed","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_2/LHRWheelSpeed","Veh_1_B.VCar_Inport_kk","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_2.LHRWheelSpeedValidData","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_2/LHRWheelSpeedValidData","Veh_1_B.VCar_Inport_ny","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_2.RHFWheelSpeed","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_2/RHFWheelSpeed","Veh_1_B.VCar_Inport_ej","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_2.RHFWheelSpeedValidData","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_2/RHFWheelSpeedValidData","Veh_1_B.VCar_Inport_bdt","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_2.RHRWheelSpeed","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_ABS_2/RHRWheelSpeed","Veh_1_B.VCar_Inport_jv","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
